Title,Author,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Date Read,Date Added,Bookshelves,Exclusive Shelf,My Review,Read Count,Owned Copies
Going Infinite: The Rise and Fall of a New Tycoon,Michael   Lewis,0,3.82,W. W. Norton & Company,Hardcover,272.0,2023.0,,2025/03/04,to-read,to-read,,0,0
My Life As A Quant: Reflections On Physics And Finance,Emanuel Derman,0,3.79,John Wiley & Sons Inc,Hardcover,292.0,2004.0,,2025/03/02,to-read,to-read,,0,0
"Noble House (Asian Saga, #5)",James Clavell,0,4.27,Dell,Mass Market Paperback,1376.0,1986.0,,2025/03/02,to-read,to-read,,0,0
"King Rat (Asian Saga, #4)",James Clavell,0,4.19,Dell,Paperback,368.0,2009.0,,2025/03/02,to-read,to-read,,0,0
"Shōgun (Asian Saga, #1)",James Clavell,0,4.41,Blackstone Publishing,Paperback,1152.0,2020.0,,2025/03/02,to-read,to-read,,0,0
"Tai-Pan (Asian Saga, #2)",James Clavell,0,4.3,Dell,Mass Market Paperback,732.0,2009.0,,2025/03/02,to-read,to-read,,0,0
Source Code: My Beginnings,Bill  Gates,4,4.21,Knopf,Hardcover,336.0,2025.0,2025/02/24,2025/02/10,,read,,1,0
"The Joy of X: A Guided Tour of Math, from One to Infinity",Steven H. Strogatz,4,4.06,Houghton Mifflin Harcourt,Hardcover,316.0,2012.0,2025/02/16,2025/02/11,,read,,1,0
The Briefcase,Hiromi Kawakami,5,3.69,Counterpoint,Paperback,176.0,2012.0,2013/12/13,2013/11/13,,read,,1,0
A Mind for Numbers: How to Excel at Math and Science (Even If You Flunked Algebra),Barbara Oakley,4,4.2,The Penguin Group,Paperback,336.0,2014.0,2025/02/11,2025/02/07,,read,,1,0
The Alignment Problem: Machine Learning and Human Values,Brian  Christian,4,4.36,W. W. Norton & Company,Hardcover,496.0,2020.0,2025/02/07,2025/01/24,,read,,1,0
Schneebraut,Ragnar Jónasson,0,3.56,Scherz Verlag GmbH,Hardcover,368.0,2011.0,,2015/04/08,currently-reading,currently-reading,,1,0
"Cold in Hand (Charles Resnick, #11)",John Harvey,0,3.96,Houghton Mifflin Harcourt,Hardcover,384.0,2008.0,,2025/02/03,to-read,to-read,,0,0
Playing for Pizza,John Grisham,0,3.52,Dell,Mass Market Paperback,308.0,2008.0,,2015/04/03,kobo,read,,1,0
"Alias Emma (Alias Emma, #1)",Ava Glass,0,3.78,Penguin,Kindle Edition,389.0,2022.0,,2025/01/31,to-read,to-read,,0,0
Die Hulda Trilogie. Dunkel - Insel - Nebel,Þ. Ragnar Jonasson,0,4.25,,MP3 CD,,,,2025/01/29,to-read,to-read,,0,0
The Son,Jo Nesbø,3,4.08,Knopf,Hardcover,407.0,2014.0,2025/01/24,2014/05/19,,read,,1,0
Taiwan Travelogue,Yáng Shuāng-zǐ,0,4.16,Graywolf Press,Paperback,320.0,2024.0,,2025/01/22,to-read,to-read,,0,0
Eruption,Michael Crichton,0,3.78,"Little, Brown and Company",Kindle Edition,423.0,2024.0,,2025/01/17,to-read,to-read,,0,0
Beirut Station: Two Lives of a Spy,Paul Vidich,0,3.96,Pegasus Crime,Hardcover,304.0,2023.0,,2025/01/02,currently-reading,currently-reading,,1,0
The Nvidia Way: Jensen Huang and the Making of a Tech Giant,Tae   Kim,5,4.35,W. W. Norton & Company,Kindle Edition,268.0,2024.0,2025/01/12,2025/01/02,,read,,1,0
Wraith (The Convergence War #1),M.R. Forbes,0,4.27,,Kindle Edition,374.0,2024.0,,2025/01/02,to-read,to-read,,0,0
Last Girls,Demetra Brodsky,0,3.83,Tor Teen,Hardcover,368.0,2020.0,,2025/01/02,to-read,to-read,,0,0
The Wedding People,Alison Espach,4,4.13,Henry Holt and Co.,Hardcover,384.0,2024.0,2024/12/31,2024/12/11,,read,,1,0
Bird in a Cage,Frédéric Dard,0,3.86,Pushkin Vertigo,Paperback,123.0,2016.0,,2024/12/22,to-read,to-read,,0,0
Welcome to the Hyunam-Dong Bookshop,Hwang Bo-Reum,3,3.94,Bloomsbury Publishing,Hardcover,307.0,2024.0,2024/12/21,2024/12/11,,read,,1,0
"Network Effect (The Murderbot Diaries, #5)",Martha Wells,4,4.47,Tor.com,Hardcover,350.0,2020.0,2024/12/16,2024/12/09,,read,,1,0
Real Americans,Rachel Khong,0,3.97,Knopf,Hardcover,399.0,2024.0,,2024/12/11,to-read,to-read,,0,0
Butter,Asako Yuzuki,0,3.52,Fourth Estate,Paperback,464.0,2024.0,,2024/12/10,to-read,to-read,,0,0
"Exit Strategy (The Murderbot Diaries, #4)",Martha Wells,4,4.37,Tordotcom,Kindle Edition,163.0,2018.0,2024/12/09,2024/12/07,,read,,1,0
"Rogue Protocol (The Murderbot Diaries, #3)",Martha Wells,4,4.25,Tor.com,Hardcover,158.0,2018.0,2024/12/07,2024/12/04,,read,,1,0
"Artificial Condition (The Murderbot Diaries, #2)",Martha Wells,4,4.26,Tor.com,Hardcover,158.0,2018.0,2024/12/04,2020/01/21,,read,,1,0
"All Systems Red (The Murderbot Diaries, #1)",Martha Wells,4,4.13,Tor.com,ebook,144.0,2017.0,2024/12/01,2020/01/21,,read,,1,0
Welcome to AI: A Human Guide to Artificial Intelligence,David L. Shrier,0,3.49,Harvard Business Review Press,Kindle Edition,238.0,2024.0,,2024/11/26,to-read,to-read,,0,0
Naked Statistics: Stripping the Dread from the Data,Charles Wheelan,0,3.96,W. W. Norton & Company,Paperback,304.0,2014.0,,2024/11/25,currently-reading,currently-reading,,1,0
"Reliquary (Pendergast, #2)",Douglas Preston,0,4.04,Tor Books,Mass Market Paperback,464.0,2005.0,,2014/11/08,to-read,to-read,,0,0
The Pragmatic Programmer: From Journeyman to Master,Dave         Thomas,0,4.33,Addison-Wesley Professional,Paperback,321.0,1999.0,,2024/11/24,currently-reading,currently-reading,,1,0
Alan Turing: The Enigma,Andrew Hodges,5,3.75,Walker Books,Paperback,608.0,2000.0,2024/11/24,2024/11/03,,read,,1,0
The Pachinko Parlour,Elisa Shua Dusapin,0,3.6,Daunt Books,Paperback,171.0,2022.0,,2024/11/20,to-read,to-read,,0,0
FIREWALLS DON'T STOP DRAGONS: A STEP-BY-STEP GUIDE TO COMPUTER SECURITY FOR NON-TECHIES,Carey Parker,0,4.29,Apress,Paperback,424.0,2018.0,,2024/11/12,currently-reading,currently-reading,,1,0
Algorithms to Live By: The Computer Science of Human Decisions,Brian  Christian,4,4.13,Henry Holt and Co.,Hardcover,368.0,2016.0,2024/11/03,2016/10/28,,read,,1,0
You Look Like a Thing and I Love You: How Artificial Intelligence Works and Why It's Making the World a Weirder Place,Janelle Shane,5,4.14,Voracious,Hardcover,272.0,2019.0,2024/10/26,2024/10/22,,read,,1,0
Hidden Pictures,Jason Rekulak,0,4.16,Flatiron Books,Hardcover,372.0,2022.0,,2024/10/23,to-read,to-read,,0,0
Hacking the Hacker: Learn From the Experts Who Take Down Hackers,Roger A. Grimes,3,3.87,Wiley,Kindle Edition,250.0,2017.0,2024/10/21,2024/10/07,,read,,1,0
"The Man Who Made Husbands Jealous (Rutshire Chronicles, #4)",Jilly Cooper,0,4.02,Corgi Books,Paperback,736.0,1994.0,,2024/10/19,to-read,to-read,,0,0
Polo (Rutshire Chronicles #3),Jilly Cooper,0,4.2,LGF,Paperback,773.0,1997.0,,2024/10/19,to-read,to-read,,0,0
Rivals (Rutshire Chronicles #2),Jilly Cooper,0,4.09,Corgi,Paperback,716.0,2008.0,,2024/10/19,to-read,to-read,,0,0
"Riders (Rutshire Chronicles, #1)",Jilly Cooper,0,3.97,Corgi,Paperback,919.0,2008.0,,2024/10/19,to-read,to-read,,0,0
"The Worlds I See: Curiosity, Exploration, and Discovery at the Dawn of AI",Fei-Fei Li,5,4.35,Flatiron Books: A Moment of Lift Book,Hardcover,336.0,2023.0,2024/10/15,2024/10/08,,read,,1,0
Fire Lover,Joseph Wambaugh,0,3.75,William Morrow Paperbacks,Mass Market Paperback,416.0,2003.0,,2015/04/03,kobo,read,,1,0
Code Dependent: Living in the Shadow of AI,Madhumita Murgia,0,4.07,Henry Holt and Co.,Hardcover,320.0,2024.0,,2024/10/08,to-read,to-read,,0,0
"Wool Omnibus (Silo, #1)",Hugh Howey,0,4.2,Broad Reach Publishing,Paperback,509.0,2012.0,,2019/04/26,currently-reading,currently-reading,,1,0
"The Judge's List (The Whistler, #2)",John Grisham,3,4.14,Doubleday,Hardcover,357.0,2021.0,2024/10/07,2024/09/29,,read,,1,0
"Origins (The Vampire Diaries: Stefan's Diaries, #1)",L.J. Smith,0,4.13,HarperTeen,Paperback,237.0,2010.0,,2024/10/06,to-read,to-read,,0,0
"Angels & Demons (Robert Langdon, #1)",Dan    Brown,3,3.95,Pocket Books,Paperback,736.0,2006.0,,2012/08/26,,read,,2,0
"Hostage To Murder (Lindsay Gordon, #6)",Val McDermid,0,3.65,Bywater Books,Kindle Edition,250.0,2005.0,,2018/10/07,,read,,1,0
The Water Rat of Wanchai (Ava Lee #1),Ian  Hamilton,0,3.79,Picador,Kindle Edition,400.0,2014.0,,2018/10/07,,read,,1,0
Murder in Pigalle (An Aimee Leduc Investigation Book 14),Cara Black,0,3.7,Soho Crime,Kindle Edition,320.0,2014.0,,2015/04/03,kobo,read,,1,0
"Conferences Are Murder (Lindsay Gordon, #4)",Val McDermid,0,3.54,Bywater Books,Kindle Edition,206.0,2005.0,,2018/10/07,,read,,1,0
"Something Borrowed, Someone Dead (Agatha Raisin #24)",M.C. Beaton,0,3.71,Minotaur Books,Kindle Edition,291.0,2013.0,,2015/04/03,kobo,read,,1,0
Murder at the Lanterne Rouge: (An Aimee Leduc Investigation #12),Cara Black,0,3.66,Soho Crime,Kindle Edition,315.0,2012.0,,2015/04/03,kobo,read,,1,0
"Aunt Dimity Beats the Devil (An Aunt Dimity Mystery, #6)",Nancy Atherton,0,4.0,Penguin Books,Kindle Edition,253.0,2001.0,,2015/04/06,kobo,read,,1,0
"The Rizzoli & Isles Series 10-Book Bundle: The Surgeon, The Apprentice, The Sinner, Body Double, Vanish, The Mephesto Club The Keepsake, Ice Cold, The Silent Girl, Last to Die",Tess Gerritsen,0,4.39,Ballantine Books,Kindle Edition,0.0,2013.0,,2018/10/07,,read,,1,0
The Afghan,Frederick Forsyth,0,3.76,Signet Book,Kindle Edition,467.0,2007.0,,2018/10/07,,read,,1,0
"Deadly Edge (Parker, #13)",Richard Stark,0,4.1,University Of Chicago Press,Kindle Edition,230.0,2010.0,,2018/10/07,,read,,1,0
Sleeping Freshmen Never Lie (Sleeping Freshmen Never Lie #1),David Lubar,0,3.84,Speak,Kindle Edition,284.0,2007.0,,2015/08/30,"kobo, to-read",to-read,,0,0
"The Bone Bed (Kay Scarpetta, #20)",Patricia Cornwell,0,3.75,Putnam Adult,Kindle Edition,513.0,2012.0,,2015/04/03,kobo,read,,1,0
"Die Again (Rizzoli & Isles, #11)",Tess Gerritsen,0,4.2,Ballantine Books,Kindle Edition,353.0,2014.0,,2018/10/07,,read,,1,0
Little Altars Everywhere,Rebecca Wells,0,3.59,HarperCollins e-books,Kindle Edition,0.0,2009.0,,2018/10/07,,read,,1,0
"Vector (Jack Stapleton & Laurie Montgomery, #4)",Robin Cook,0,3.87,G.P. Putnam's Sons,Kindle Edition,420.0,1999.0,,2015/04/03,kobo,read,,1,0
"Threat Vector (Jack Ryan Jr., #4)",Tom Clancy,0,4.2,Putnam Adult,Kindle Edition,722.0,2012.0,,2018/10/07,,read,,1,0
Gray Mountain,John Grisham,0,3.67,Anchor,Kindle Edition,386.0,2014.0,,2015/04/03,kobo,read,,1,0
"Mightier Than the Sword (The Clifton Chronicles, #5)",Jeffrey Archer,3,4.19,St. Martin's Press,Kindle Edition,415.0,2015.0,,2018/10/07,,read,,2,0
"The Green Eagle Score (Parker, #10)",Richard Stark,0,4.01,University Of Chicago Press,Kindle Edition,168.0,2011.0,,2018/10/07,,read,,1,0
"A Mind to Murder (Adam Dalgliesh, #2)",P.D. James,0,3.8,Scribner,Kindle Edition,291.0,2012.0,,2015/04/03,kobo,read,,1,0
"Dead Water (Shetland Island, #5)",Ann Cleeves,0,4.12,Minotaur Books,Kindle Edition,401.0,2014.0,,2018/10/07,,read,,1,0
The Wild Beasts of Wuhan (An Ava Lee Novel Book 3),Ian  Hamilton,0,3.88,House Of Anansi,Kindle Edition,350.0,2011.0,,2015/05/03,kobo,read,,1,0
"King and Maxwell (Sean King & Michelle Maxwell, #6)",David Baldacci,0,4.17,Grand Central Publishing ,Kindle Edition,432.0,2013.0,,2015/04/03,kobo,read,,1,0
"The Rare Coin Score (Parker, #9)",Richard Stark,0,4.02,University Of Chicago Press,Kindle Edition,156.0,2011.0,,2018/10/07,,read,,1,0
The Fire Dance (Inspector Huss Book 6),Helene Tursten,0,3.74,Soho Crime,Kindle Edition,321.0,2014.0,,2018/10/07,to-read,to-read,,0,0
Murder Below Montparnasse  (Aimee Leduc Investigations #13),Cara Black,0,3.61,Soho Crime,Kindle Edition,319.0,2013.0,,2015/04/03,kobo,read,,1,0
Terminal (A Medical Thriller),Robin Cook,0,3.73,Berkley Books,Kindle Edition,383.0,1996.0,,2015/04/03,kobo,read,,1,0
The Corpse on the Dike,Janwillem van de Wetering,0,3.8,Soho Crime,Kindle Edition,240.0,2003.0,,2018/10/07,,read,,1,0
Gotham: A History of New York City to 1898,Edwin G. Burrows,0,4.29,"Oxford University Press, USA",Kindle Edition,1383.0,1998.0,,2015/04/03,kobo,read,,1,0
How to Write Killer Fiction,Carolyn Wheat,0,3.99,Perseverance Press,Kindle Edition,191.0,2011.0,,2015/04/03,kobo,read,,1,0
"The Girl in the Spider's Web (Millennium, #4)",David Lagercrantz,3,3.8,Vintage Crime/Black Lizard,Kindle Edition,416.0,2015.0,,2015/09/05,to-read,to-read,,2,0
Tumbleweed (Amsterdam Cops Book 2),Janwillem van de Wetering,0,3.8,Soho,Kindle Edition,203.0,1976.0,,2018/10/07,,read,,1,0
The Edible Exile,Carl Hiaasen,0,3.53,Byliner,Kindle Edition,30.0,2013.0,,2018/10/07,,read,,1,0
Hard Rain (Grijpstra-de Gier Mysteries Series Book 11),Janwillem van de Wetering,0,3.92,Soho Crime,Kindle Edition,321.0,2003.0,,2018/10/07,,read,,1,0
"The House of Cards Complete Trilogy: House of Cards, To Play the King, The Final Cut (Francis Urquhart #1-3)",Michael Dobbs,0,3.89,Sourcebooks Landmark,Kindle Edition,322.0,2014.0,,2018/10/07,,read,,1,0
The Miracle at Speedy Motors (No. 1 Ladies' Detective Agency #9),Alexander McCall Smith,0,4.1,Anchor ,Kindle Edition,224.0,2008.0,,2015/04/03,kobo,read,,1,0
"Common Murder (Lindsay Gordon, #2)",Val McDermid,0,3.57,Bywater Books MI,Kindle Edition,250.0,2005.0,,2018/10/07,,read,,1,0
"The Whistler (The Whistler, #1)",John Grisham,3,3.97,Vintage,Kindle Edition,424.0,2016.0,,2024/09/24,,read,,3,0
Alaska,James A. Michener,0,4.16,The Dial Press,Kindle Edition,1348.0,2013.0,,2015/04/03,kobo,read,,1,0
Midnight's Children,Salman Rushdie,0,3.98,Random House,Kindle Edition,674.0,2010.0,,2018/10/07,,read,,1,0
"The Dragon Scroll (Sugawara Akitada, #1)",I.J. Parker,0,3.76,Penguin Group,Kindle Edition,354.0,2005.0,,2018/10/07,,read,,1,0
"Plunder Squad (Parker, #15)",Richard Stark,0,4.05,University Of Chicago Press,Kindle Edition,198.0,2010.0,,2018/10/07,,read,,1,0
"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,0,4.45,Harper Voyager,Kindle Edition,819.0,2012.0,,2015/04/11,kobo,read,,1,0
"The Score (Parker, #5)",Richard Stark,0,4.08,University of Chicago Press,Kindle Edition,224.0,2010.0,,2018/10/07,,read,,1,0
"The Rattle-Rat - Grijpstra & De Gier, The Amsterdam Cops",Janwillem van de Wetering,0,3.88,Soho Crime,Kindle Edition,320.0,2003.0,,2018/10/07,,read,,1,0
"Independence Day (Dewey Andreas, #5)",Ben Coes,0,4.44,St. Martin's Press,Kindle Edition,513.0,2015.0,,2015/05/31,"to-read, kobo",to-read,,0,0
Dead Wake: The Last Crossing of the Lusitania,Erik Larson,0,4.13,Crown,Kindle Edition,482.0,2015.0,,2018/10/07,,read,,1,0
Hollywood Moon,Joseph Wambaugh,0,3.94,"Little, Brown and Company",Kindle Edition,352.0,2009.0,,2015/04/03,kobo,read,,1,0
"The Night Stalker (DCI Erika Foster, #2)",Robert Bryndza,0,4.16,Bookouture,Kindle Edition,654.0,2016.0,,2018/10/07,,read,,1,0
A Perfect Spy,John Le Carré,0,3.99,Hodder & Stoughton,Kindle Edition,692.0,2008.0,,2018/10/07,,read,,1,0
Outsider in Amsterdam (Grijpstra & de Gier Mystery #1),Janwillem van de Wetering,0,3.62,Soho Crime,Kindle Edition,208.0,2003.0,,2018/10/07,,read,,1,0
"Shelter (Micky Bolitar, #1)",Harlan Coben,0,3.96,Speak ,Kindle Edition,321.0,2011.0,,2015/04/03,kobo,read,,1,0
"The Jugger (Parker, #6)",Richard Stark,0,4.0,University of Chicago Press,Kindle Edition,226.0,2010.0,,2018/10/07,,read,,1,0
The Great Zoo of China,Matthew Reilly,0,3.78,Gallery Books,Kindle Edition,417.0,2015.0,,2015/03/20,to-read,to-read,,0,0
"Bloodfever (Fever, #2)",Karen Marie Moning,0,4.25,Dell,Kindle Edition,255.0,2007.0,,2015/04/03,kobo,read,,1,0
Travels with Charley: In Search of America,John Steinbeck,0,4.08,Penguin Classics,Kindle Edition,240.0,2012.0,,2018/10/07,,read,,1,0
Death of a Hawker (Grijpstra-de Gier Mysteries Series Book 4),Janwillem van de Wetering,0,3.76,Soho Crime,Kindle Edition,234.0,1977.0,,2018/10/07,,read,,1,0
The Kill List,Frederick Forsyth,0,3.89,G. P. Putnam's Sons,Kindle Edition,353.0,2013.0,,2018/10/07,,read,,1,0
"A Higher Loyalty: Truth, Lies, and Leadership",James B. Comey,0,4.1,Flatiron Books,Kindle Edition,304.0,2018.0,,2018/10/07,,read,,1,0
"Cain His Brother (William Monk, #6)",Anne Perry,0,4.01,Ballantine Books,Kindle Edition,434.0,2011.0,,2018/10/07,,read,,1,0
Play Dead,Harlan Coben,0,3.83,Signet,Kindle Edition,561.0,2010.0,,2015/04/03,kobo,read,,1,0
"The Dead Town (Dean Koontz's Frankenstein, #5)",Dean Koontz,0,3.97,Bantam,Kindle Edition,448.0,2011.0,,2015/04/03,kobo,read,,1,0
Just a Corpse at Twilight (Amsterdam Cops Book 12),Janwillem van de Wetering,0,3.79,Soho Crime,Kindle Edition,217.0,2003.0,,2018/10/07,,read,,1,0
American Psycho,Bret Easton Ellis,0,3.81,Picador,Kindle Edition,418.0,2012.0,,2015/05/02,kobo,read,,1,0
Funny Girl,Nick Hornby,0,3.41,Penguin UK,Kindle Edition,352.0,2014.0,,2015/04/03,kobo,read,,1,0
"The Saturday Big Tent Wedding Party (No. 1 Ladies' Detective Agency, #12)",Alexander McCall Smith,0,4.1,Anchor,Kindle Edition,242.0,2011.0,,2015/04/03,kobo,read,,1,0
"The Man on the Balcony (Martin Beck, #3)",Maj Sjöwall,0,3.92,Vintage,Kindle Edition,194.0,2011.0,,2015/08/01,kobo,read,,1,0
Strange Shores (Inspector Erlendur #11),Arnaldur Indriðason,0,3.92,Minotaur Books,Kindle Edition,307.0,2014.0,,2015/05/02,kobo,read,,1,0
"Phantom (Harry Hole, #9)",Jo Nesbø,0,4.11,Vintage Crime/Black Lizard,Kindle Edition,388.0,2012.0,,2018/10/07,,read,,1,0
"Ice Run (Alex McKnight, #6)",Steve Hamilton,0,3.99,Minotaur Books,Kindle Edition,356.0,2007.0,,2018/10/07,,read,,1,0
"Backflash (Parker, #18)",Richard Stark,0,4.1,University Of Chicago Press,Kindle Edition,310.0,2011.0,,2018/10/07,,read,,1,0
Perfidious Parrot (Amsterdam Cops),Janwillem van de Wetering,0,3.79,Soho Crime,Kindle Edition,321.0,2003.0,,2018/10/07,,read,,1,0
"Thirteen Hours (Benny Griessel, #2)",Deon Meyer,0,4.1,Atlantic Monthly Press,Kindle Edition,417.0,2018.0,,2018/10/07,,read,,1,0
The Secrets of Harry Bright: A Novel,Joseph Wambaugh,0,3.8,Bantam,Kindle Edition,350.0,2013.0,,2015/04/03,kobo,read,,1,0
"The Man with the Getaway Face (Parker, #2)",Richard Stark,0,3.99,University of Chicago Press,Kindle Edition,226.0,2009.0,,2018/10/07,,read,,1,0
No Comebacks,Frederick Forsyth,0,3.96,G.P. Putnam's Sons,Kindle Edition,306.0,2012.0,,2018/10/07,,read,,1,0
The Kalahari Typing School for Men: The No. 1 Ladies' Detective Agency (4) (No. 1 Ladies' Detective Agency series),Alexander McCall Smith,0,4.01,Vintage Canada,Kindle Edition,192.0,2010.0,,2015/04/03,kobo,read,,1,0
Ghost in the Wires: My Adventures as the World's Most Wanted Hacker,Kevin D. Mitnick,0,3.96,"Little, Brown and Company",Kindle Edition,368.0,2011.0,,2018/10/07,,read,,1,0
"Top Secret Twenty-one (Stephanie Plum, #21)",Janet Evanovich,0,3.91,Bantam,Kindle Edition,352.0,2014.0,,2015/04/06,kobo,read,,1,0
The Blood of an Englishman (Agatha Raisin #25),M.C. Beaton,0,3.65,Minotaur Books,Kindle Edition,303.0,2014.0,,2015/04/03,kobo,read,,1,0
"Shades of Earl Grey (A Tea Shop Mystery, #3)",Laura Childs,0,3.94,Berkley,Kindle Edition,260.0,2003.0,,2018/10/07,,read,,1,0
On the Beach (Vintage International),Nevil Shute,0,3.98,Vintage,Kindle Edition,320.0,2010.0,,2015/04/17,to-read,to-read,,0,0
Midwinter Sacrifice,Mons Kallentoft,0,3.49,Hodder & Stoughton,Kindle Edition,448.0,,,2018/10/07,,read,,1,0
The Red House Mystery,A.A. Milne,0,3.68,Dover Publications,Kindle Edition,103.0,2012.0,,2015/05/07,kobo,read,,1,0
"White Nights (Shetland Island, #2)",Ann Cleeves,0,4.02,Minotaur Books,Kindle Edition,479.0,2010.0,,2018/10/07,,read,,1,0
"The Sour Lemon Score (Parker, #12)",Richard Stark,0,4.08,University Of Chicago Press,Kindle Edition,169.0,2011.0,,2018/10/07,,read,,1,0
"74 Seaside Avenue (Cedar Cove, #7)",Debbie Macomber,0,4.14,MIRA,Kindle Edition,364.0,2014.0,,2015/04/03,kobo,read,,1,0
"Report For Murder (Lindsay Gordon, #1)",Val McDermid,0,3.34,Bywater Books,Kindle Edition,260.0,2005.0,,2018/10/07,,read,,1,0
"The Fifth Season (The Broken Earth, #1)",N.K. Jemisin,3,4.3,Orbit,Paperback,468.0,2015.0,2024/09/15,2020/04/12,,read,,1,0
"Cure (Jack Stapleton & Laurie Montgomery, #10)",Robin Cook,0,3.75,G.P. Putnam's Sons,Kindle Edition,530.0,2010.0,,2015/04/03,kobo,read,,1,0
Agent 6,Tom Rob Smith,0,3.83,Grand Central Publishing,Kindle Edition,480.0,2012.0,,2015/08/01,kobo,read,,1,0
"Night Watch (Watch, #1)",Sergei Lukyanenko,4,3.97,Hyperion,Kindle Edition,364.0,2009.0,,2011/02/26,,read,,1,0
Hasty Death: An Edwardian Murder Mystery (Edwardian Murder Mysteries Book 2),Marion Chesney,0,3.66,Minotaur Books,Kindle Edition,193.0,2007.0,,2015/04/03,kobo,read,,1,0
Death of the Demon: A Hanne Wilhelmsen Novel,Anne Holt,0,3.56,Scribner,Kindle Edition,288.0,2013.0,,2013/06/09,to-read,to-read,,0,0
"The Snowman (Harry Hole, #7)",Jo Nesbø,0,4.02,Knopf,Kindle Edition,530.0,2011.0,,2018/10/07,,read,,1,0
"This Is Why We Lied (Will Trent, #12)",Karin Slaughter,0,4.25,William Morrow,Hardcover,464.0,2024.0,,2024/09/04,to-read,to-read,,0,0
The Palace of Illusions,Chitra Banerjee Divakaruni,4,4.2,Doubleday,Hardcover,360.0,2008.0,2024/09/03,2024/06/16,,read,,1,0
A Fine Balance,Rohinton Mistry,5,4.38,Vintage,Paperback,603.0,1997.0,2024/08/28,2024/01/06,,read,,1,0
"The Jupiter Myth (Marcus Didius Falco, #14)",Lindsey Davis,0,4.07,Mysterious Press,Kindle Edition,346.0,2011.0,,2015/04/03,kobo,read,,1,0
"My Brilliant Friend (My Brilliant Friend, #1)",Elena Ferrante,3,4.05,Europa Editions,Paperback,331.0,2012.0,2024/08/12,2020/05/19,,read,,1,0
Nadezhda in the Dark,Yelena Moskovich,0,4.29,Footnote Press,Kindle Edition,229.0,2023.0,,2024/08/10,to-read,to-read,,0,0
Ghost Stories of Shimla Hills,Minakshi Chaudhry,0,3.68,Rupa,Paperback,140.0,2006.0,,2024/08/09,to-read,to-read,,0,0
"Reliquary (Pendergast, #2)",Douglas Preston,0,4.04,Tor,Mass Market Paperback,464.0,1998.0,,2015/04/03,kobo,read,,1,0
"206 Bones (Temperance Brennan, #12)",Kathy Reichs,0,3.94,Pocket Star Books,Mass Market Paperback,384.0,2010.0,,2015/04/03,kobo,read,,1,0
"Blue Lightning (Shetland Island, #4)",Ann Cleeves,0,4.11,Minotaur Books,Paperback,368.0,2011.0,,2018/10/07,,read,,1,0
